ts_iso,pair,direction,entry,sl,tp,rr,atr,regime,decay,h_2_hurst,session,score,status,outcome,exit_ts,exit_price,pnl_r,bars_held
2026-05-24T13:07:55Z,GBP/JPY,LONG,213.86623,213.45391,214.48471,1.5,0.20616,rich_multi,0.5461,0.4141,London-NY overlap,91.1,CLOSED,LOSS,1779678000,213.45391,-1.0,4
2026-05-24T13:07:55Z,USD/CHF,SHORT,0.78475,0.7867,0.78183,1.5,0.00097,multi,0.3756,0.4631,London-NY overlap,80,CLOSED,WIN,1779692400,0.78183,1.497,5
2026-05-24T13:07:55Z,GBP/USD,LONG,1.34339,1.34029,1.34803,1.5,0.00155,multi,0.334,0.4482,London-NY overlap,65.8,CLOSED,WIN,1779692400,1.34803,1.497,5
2026-05-24T13:30:02Z,XAU/USD,LONG,4505.72852,4487.77478,4532.65913,1.5,8.97687,multi,0.4176,0.4961,London-NY overlap,65,CLOSED,WIN,1779692400,4532.65913,1.5,5
2026-05-27T14:55:37Z,EUR/GBP,LONG,0.86627,0.86471,0.86862,1.5,0.00078,multi,0.3582,0.4456,London-NY overlap,69.4,CLOSED,TIMEOUT,1780167600,0.86642,0.096,20
2026-06-02T14:07:05Z,USD/JPY,LONG,159.74814,159.53629,160.06592,1.5,0.10593,rich_multi,0.4855,0.3535,London-NY overlap,94.2,CLOSED,LOSS,1780498800,159.53629,-1.0,7
2026-06-02T14:07:05Z,EUR/GBP,SHORT,0.86458,0.86628,0.86203,1.5,0.00085,rich_multi,0.4252,0.4381,London-NY overlap,86.3,CLOSED,TIMEOUT,1780686000,0.86423,0.206,20
2026-06-11T14:01:42Z,USD/JPY,LONG,160.53381,160.27126,160.92763,1.5,0.13127,rich_multi,0.4268,0.3756,London-NY overlap,91.1,CLOSED,LOSS,1781233200,160.27126,-1.0,4
2026-06-12T07:00:02Z,EUR/GBP,SHORT,0.8627,0.86477,0.85959,1.5,0.00104,multi,0.3945,0.4355,London,69.6,CLOSED,TIMEOUT,1781535600,0.86393,-0.594,20
2026-06-12T14:30:01Z,USD/JPY,LONG,160.18647,159.74423,160.84983,1.5,0.22112,rich_multi,0.4319,0.3834,London-NY overlap,99.2,CLOSED,LOSS,1781463600,159.74423,-1.0,14
2026-06-15T00:30:03Z,USD/JPY,SHORT,159.97289,160.51492,159.15985,1.5,0.27101,rich_multi,0.4211,0.3789,off-session,65.0,OPEN,,,,,
2026-06-15T20:30:03Z,EUR/GBP,LONG,0.86392,0.86125,0.86793,1.5,0.00134,multi,0.3557,0.4132,NewYork,65.6,OPEN
2026-06-16T08:30:02Z,USD/JPY,LONG,160.24701,159.54036,161.30698,1.5,0.35332,rich_multi,0.4452,0.3751,London,85.8,OPEN
